filename,words
line_0_cbfb31.png,Canali
line_1_c405cf.png,RESTAURANTE
line_2_61212d.png,nenú
line_3_ceed13.png,Caua 4 anenitiua
line_4_e7aa44.png,"Caballa en salazón, servido con mousse"
line_5_a08c46.png,de remolacha; canónigos y un gelificado de jengibre
line_6_818d40.png,Enthanted a eleaih
line_7_03785c.png,Carpaccio de ternera con texturas de limón y salicornias
line_8_d7760f.png,"Ensalada de quinoa con tomates secos, albahaca,"
line_9_adf1fe.png,mojada y crujiente de yuca
line_10_98f570.png,Sopa fría de pepino y aguacate  servido con un tartar de gambas
line_11_1827a5.png,Platod mhincihaled a eleqi
line_12_75dfe5.png,"Lubina salteada, servidos navaja, burrata y tomate"
line_13_774b3d.png,"en brunoise, risotto y salsa vino blanco"
line_14_0f1d13.png,Solomillo de cerdo ibérico con una muselina de
line_15_cf33b5.png,"calabaza y manzana asada, salsa de sidra"
line_16_c5b45e.png,"Corona de cordero; puré de patata trufada, zanahoria"
line_17_d522c7.png,"caramelizada, salsa de romero"
line_18_2e7cd1.png,Dadthed a elegi
line_19_f23b21.png,Tarta de queso con frutas rojas helado de fresa
line_20_d862df.png,Coulan de chocolate con helado de vainilla
line_21_4d6f7f.png,*El menú incluye pan y ali i oli y 1/2 botella de vino por comensal
