filename,words
menu1.jpg,Pescado
menu1.jpg,Boquerones 12 €
menu1.jpg,12€ media ración / 16 € ración entera
menu1.jpg,Boqueroncillos 12 €
menu1.jpg,12€ media ración / 16 € ración entera
menu1.jpg,Nuestro plato estrella
menu1.jpg,Surtido de Pescado 14 €
menu1.jpg,14€ media ración / 20 € ración entera
menu1.jpg,Salmonetes 14€
menu1.jpg,14€ media ración / 18 € ración entera
menu1.jpg,Rosada 12€
menu1.jpg,12€ media ración / 16 € ración entera
menu1.jpg,Cazón 12€
menu1.jpg,12€ media ración / 16 € ración entera
menu1.jpg,Pijotas 14€
menu1.jpg,14€ media ración / 18 € ración entera
menu1.jpg,Atún Plancha 18 €
menu1.jpg,18€ ración entera
menu1.jpg,Plata 11 €
menu1.jpg,11€ media ración / 16 € ración entera
menu1.jpg,Bacalao 11 €
menu1.jpg,Marisco
menu1.jpg,Marisco de Motril 22 €
menu1.jpg,22€ ración entera
menu1.jpg,Cigalas 16 €
menu1.jpg,16€ media ración / 22 € ración entera
menu1.jpg,Mejillones 11 €
menu1.jpg,11€ media ración / 15 € ración entera
menu1.jpg,Almejas 12 €
menu1.jpg,12€ media ración / 17 € ración entera
menu1.jpg,Pulpo 14€
menu1.jpg,14€ media ración / 20 € ración entera
menu1.jpg,Navajas 12 €
menu1.jpg,12€ media ración / 17 € ración entera
menu1.jpg,Chipirones fritos 14 €
menu1.jpg,14€ media ración / 18 € ración entera
menu1.jpg,Coquinas 14 €
menu1.jpg,14€ media ración / 18 € ración entera
menu1.jpg,Chopitos 14 €
menu1.jpg,14€ media ración / 18 € ración entera
menu1.jpg,Calamaritos plancha 17 €
menu1.jpg,17 € ración entera
menu2.jpg,Platos Individuales
menu2.jpg,"Fritura de Pescado 15,00 €"
menu2.jpg,"Parrillada de Pescado 16,00 €"
menu2.jpg,"Zarzuela Pescado y Marisco 14,00 €/pers."
menu2.jpg,"Calamar Nacional a la Plancha 17,00 €"
menu2.jpg,"Salmón Noruego a la Plancha 14,00 €"
menu2.jpg,"Lubina a la Espalda 16,00 €"
menu2.jpg,"Bacalao con Pisto 13,00 €"
menu2.jpg,"Migas con Pescado y Pimientos Fritos 10,00 €"
menu2.jpg,CARNES
menu2.jpg,"Lomo de Cerdo a la Plancha 9,00 €"
menu2.jpg,"Escalopines de Pollo Crujientes 10,00 €"
menu2.jpg,"Burguer de Ternera con Queso de Cabra, Cebolla Caramelizada y Espinacas 11,00 €"
menu2.jpg,"Entrecot de Ternera 17,00 €"
menu2.jpg,"Huevos Rotos con Jamón 10,00 €"
menu2.jpg,"Pan / Bread 0,80 €"
menu2.jpg,IVA INCLUIDO / IVA INCLUDED
menu3.jpg,PLATOS PREMIUM 5 €
menu3.jpg,HUEVOS ROTOS CON JAMÓN PREMIUM
menu3.jpg,EL ENSAYAO
menu3.jpg,PATATAS REJILLA PREMIUM CON SALSA BODE Y SALSA BRAVA
menu3.jpg,MILANESA AL PLATO CON PATATAS CRUJIENTES PREMIUM
menu3.jpg,AROS DE CEBOLLA REBOZADOS
menu3.jpg,RACIONES
menu3.jpg,Fritura de Pescado 12€ 7 €
menu3.jpg,Rejos 12 € 7 €
menu3.jpg,Puntas de Calamar 12 € 7 €
menu3.jpg,Calamares a la Romana 12 € 7 €
menu3.jpg,Bacalao Frito 12 € 7 €
menu3.jpg,Bacalao Campesina 12€ 7€
menu3.jpg,Langostinos 12 € 7 €
menu3.jpg,Gambas Rebozadas 12 € 7 €
menu3.jpg,Pulpo a la Gallega 12 € 7 €
menu3.jpg,Muslitos de Cangrejo 12 € 7 €
menu3.jpg,Chanquetes 10 € 6 €
menu3.jpg,Alitas de Pollo 10 € 6 €
menu3.jpg,Carne con Tomate 10 € 6 €
menu3.jpg,Queso Frito 10 € 6 €
menu3.jpg,Croquetas de Jamón 10 € 6 €
menu3.jpg,Fingers de pollo con BBQ 12 € 7 €
menu3.jpg,BOCADILLOS
menu3.jpg,"Lomo Completo 3,5€"
menu3.jpg,Lomo Mahonesa o Alioli 3 €
menu3.jpg,Magreta Mahonesa o Alioli 3 €
menu3.jpg,Beicon Mahonesa o Alioli 3 €
menu3.jpg,Perrito 3€
menu3.jpg,Calamares con Mahonesa 3 €
menu3.jpg,"Milanesa 3,5 €"
menu3.jpg,Lomo Serrano 3 €
menu3.jpg,Carne en salsa 3 €
menu3.jpg,Lomo con Queso 3 €
menu3.jpg,TOSTAS 3 €
menu3.jpg,Jamón Serrano con Brie
menu3.jpg,Lomo con Queso Brie
menu3.jpg,La Tahona
menu3.jpg,Tosta de Atún
menu3.jpg,Tosta Barbacoa
menu3.jpg,Tosta de Champiñón
menu3.jpg,Tosta 3 quesos
menu3.jpg,TAPAS DE CARNE EN PLATO
menu3.jpg,Pinchito
menu3.jpg,Croquetas
menu3.jpg,Alitas
menu3.jpg,Chacinas
menu3.jpg,Embutidos Ibéricos
menu3.jpg,Callos
menu3.jpg,Jamón Serrano con Queso Manchego
